Accession;Gene Symbol;Description;Contaminant;Marked as;# Peptides;# PSMs;# Unique Peptides;# Protein Groups;Biological Process;Cellular Component;Molecular Function;Entrez Gene ID;Ensembl Gene ID;KEGG Pathways;WikiPathways;# Razor Peptides;Abundance Ratio: (LIF) / (Control);Abundance Ratio P-Value: (LIF) / (Control);Abundance Ratio Adj. P-Value: (LIF) / (Control);Abundances (Grouped): Control;Abundances (Grouped): LIF;Abundances (Grouped) CV [%]: Control;Abundances (Grouped) CV [%]: LIF;Modifications
Q9CQE3;Mrps17;28S ribosomal protein S17, mitochondrial OS=Mus musculus OX=10090 GN=Mrps17 PE=1 SV=1;FALSE;Mouse;1;2;1;1;"cell organization and biogenesis;metabolic process";"mitochondrion;ribosome";"RNA binding;structural molecule activity";66258;ENSMUSG00000034211.14;Ribosome;;0;0.736;0.160568334;0.858136371;115.2;84.8;3.24;20.07;
Q9CQE6;Asf1a;Histone chaperone ASF1A OS=Mus musculus OX=10090 GN=Asf1a PE=1 SV=1;FALSE;Mouse;3;3;2;1;"cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";nucleus;protein binding;66403;ENSMUSG00000019857.7;;;1;0.913;0.887747241;0.973356246;104.6;95.4;13.06;14.06;
Q9CQE7;Ergic3;Endoplasmic reticulum-Golgi intermediate compartment protein 3 OS=Mus musculus OX=10090 GN=Ergic3 PE=1 SV=1;FALSE;Mouse;4;5;4;1;transport;"endoplasmic reticulum;Golgi;membrane";;66366;ENSMUSG00000005881.13;;;0;1.015;0.974061443;0.997188956;99.3;100.7;1.44;5.82;
Q9CQE8;"2700060E02Rik; Rtraf";RNA transcription, translation and transport factor protein OS=Mus musculus OX=10090 GN=RTRAF PE=1 SV=1;FALSE;Mouse;10;31;10;1;"metabolic process;regulation of biological process";"cytoplasm;cytoskeleton;cytosol;nucleus";"protein binding;RNA binding";68045;ENSMUSG00000021807.5;;;0;1.094;0.363465314;0.87501916;95.5;104.5;9.33;4.21;
Q9CQF0;Mrpl11;39S ribosomal protein L11, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl11 PE=1 SV=1;FALSE;Mouse;5;8;5;1;"cell organization and biogenesis;metabolic process";"mitochondrion;ribosome";"RNA binding;structural molecule activity";66419;ENSMUSG00000024902.4;Ribosome;mRNA processing;0;1.001;0.907921674;0.980976687;100;100;11.13;0.6;
Q9CQF3;Nudt21;Cleavage and polyadenylation specificity factor subunit 5 OS=Mus musculus OX=10090 GN=Nudt21 PE=1 SV=1;FALSE;Mouse;5;12;5;1;"cell organization and biogenesis;metabolic process";nucleus;"catalytic activity;protein binding;RNA binding";68219;ENSMUSG00000031754.10;mRNA surveillance pathway;mRNA processing;0;0.984;0.499247561;0.891625882;100.8;99.2;4.25;8.31;
Q9CQF4;1700021F05Rik;Uncharacterized protein C6orf203 homolog OS=Mus musculus OX=10090 PE=1 SV=1;FALSE;Mouse;3;5;3;1;;mitochondrion;;67851;ENSMUSG00000019797.11;;;0;1.187;0.303518626;0.866856602;91.5;108.5;12.37;7.91;
Q9CQF6;Aasdhppt;L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Mus musculus OX=10090 GN=Aasdhppt PE=1 SV=1;FALSE;Mouse;2;4;2;1;metabolic process;cytoplasm;"catalytic activity;metal ion binding";67618;ENSMUSG00000025894.11;Pantothenate and CoA biosynthesis;;0;1.096;0.660358306;0.926981189;95.4;104.6;14.57;10.68;
Q9CQF8;"Mrp63; Mrpl57";Ribosomal protein 63, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl57 PE=1 SV=1;FALSE;Mouse;2;2;2;1;"cell organization and biogenesis;metabolic process";"mitochondrion;ribosome";structural molecule activity;67840;ENSMUSG00000021967.3;;;0;0.86;0.288818497;0.86452964;107.5;92.5;14.28;2.26;
Q9CQF9;Pcyox1;Prenylcysteine oxidase OS=Mus musculus OX=10090 GN=Pcyox1 PE=1 SV=1;FALSE;Mouse;11;29;11;1;"metabolic process;transport";"membrane;vacuole";"catalytic activity;transporter activity";66881;ENSMUSG00000029998.14;Terpenoid backbone biosynthesis;;0;1.034;0.994188533;0.999639875;98.3;101.7;12.9;3.91;
Q9CQG1;Chac2;Putative glutathione-specific gamma-glutamylcyclotransferase 2 OS=Mus musculus OX=10090 GN=Chac2 PE=1 SV=1;FALSE;Mouse;1;1;1;1;metabolic process;"cytoplasm;cytosol";catalytic activity;68044;ENSMUSG00000020309.6;;;0;;;;;;;;
Q9CQG2;Mettl16;U6 small nuclear RNA (adenine-(43)-N(6))-methyltransferase OS=Mus musculus OX=10090 GN=Mettl16 PE=1 SV=1;FALSE;Mouse;2;4;2;1;"metabolic process;regulation of biological process";nucleus;"catalytic activity;RNA binding";67493;ENSMUSG00000010554.14;;;0;0.781;0.287158525;0.864126269;112.3;87.7;30.92;22.93;
Q9CQH3;Ndufb5;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial OS=Mus musculus OX=10090 GN=Ndufb5 PE=1 SV=1;FALSE;Mouse;4;8;4;1;"cell organization and biogenesis;metabolic process;transport";"membrane;mitochondrion";;66046;ENSMUSG00000027673.12;"Metabolic pathways; Huntington's disease; Non-alcoholic fatty liver disease (NAFLD); Oxidative phosphorylation; Parkinson's disease; Alzheimer's disease";"Electron Transport Chain; Oxidative phosphorylation";0;0.909;0.837027416;0.96420826;104.8;95.2;11.75;7.72;
Q9CQH7;Btf3l4;Transcription factor BTF3 homolog 4 OS=Mus musculus OX=10090 GN=Btf3l4 PE=1 SV=1;FALSE;Mouse;5;36;4;1;;;;70533;ENSMUSG00000028568.16;;;0;1.105;0.46672694;0.889593013;95;105;21.04;8.1;
Q9CQI3;Gmfb;Glia maturation factor beta OS=Mus musculus OX=10090 GN=Gmfb PE=1 SV=3;FALSE;Mouse;5;18;5;1;"regulation of biological process;response to stimulus";;protein binding;63985;ENSMUSG00000062014.12;;;0;0.96;0.41996174;0.882388679;102;98;2.18;4.96;
Q9CQI6;Cotl1;Coactosin-like protein OS=Mus musculus OX=10090 GN=Cotl1 PE=1 SV=3;FALSE;Mouse;9;55;9;1;"defense response;response to stimulus";"cytoplasm;cytoskeleton;nucleus";protein binding;72042;ENSMUSG00000031827.13;;;0;0.93;0.3107802;0.866856602;103.6;96.4;9.2;2.58;
Q9CQI7;Snrpb2;U2 small nuclear ribonucleoprotein B'' OS=Mus musculus OX=10090 GN=Snrpb2 PE=1 SV=1;FALSE;Mouse;7;40;5;1;metabolic process;"nucleus;spliceosomal complex";"protein binding;RNA binding";20639;ENSMUSG00000008333.12;Spliceosome;mRNA processing;0;1.03;0.798534624;0.954200262;98.5;101.5;10.04;3.43;
Q9CQJ2;Pih1d1;PIH1 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Pih1d1 PE=1 SV=1;FALSE;Mouse;2;2;2;1;"cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process";"cytoplasm;nucleus";"DNA binding;protein binding";68845;ENSMUSG00000003423.15;;;0;1.107;0.410027164;0.882388679;94.9;105.1;12.78;2.36;
Q9CQJ4;Rnf2;E3 ubiquitin-protein ligase RING2 OS=Mus musculus OX=10090 GN=Rnf2 PE=1 SV=1;FALSE;Mouse;8;13;6;1;"cell organization and biogenesis;metabolic process;regulation of biological process";"chromosome;nucleus";"catalytic activity;metal ion binding;protein binding";19821;ENSMUSG00000026484.13;;PluriNetWork;2;0.955;0.632060418;0.923139397;102.3;97.7;2.48;7.1;
Q9CQJ6;Denr;Density-regulated protein OS=Mus musculus OX=10090 GN=Denr PE=1 SV=1;FALSE;Mouse;5;20;5;1;"cell organization and biogenesis;metabolic process";ribosome;RNA binding;68184;ENSMUSG00000023106.15;;;0;0.994;0.750148127;0.943564924;100.3;99.7;3.99;2.47;
Q9CQJ8;Ndufb9;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 OS=Mus musculus OX=10090 GN=Ndufb9 PE=1 SV=3;FALSE;Mouse;2;3;2;1;"cell organization and biogenesis;metabolic process;transport";"membrane;mitochondrion";;66218;ENSMUSG00000022354.3;"Metabolic pathways; Huntington's disease; Non-alcoholic fatty liver disease (NAFLD); Oxidative phosphorylation; Parkinson's disease; Alzheimer's disease";"Electron Transport Chain; Oxidative phosphorylation";0;;;;;;;;
Q9CQK7;Rwdd1;RWD domain-containing protein 1 OS=Mus musculus OX=10090 GN=Rwdd1 PE=1 SV=1;FALSE;Mouse;4;10;4;1;"metabolic process;regulation of biological process;response to stimulus";cytoplasm;protein binding;66521;ENSMUSG00000019782.10;;;0;1.092;0.093327577;0.858136371;95.6;104.4;5.69;1.24;
Q9CQL0;Mettl21a;Protein N-lysine methyltransferase METTL21A OS=Mus musculus OX=10090 GN=Mettl21A PE=2 SV=1;FALSE;Mouse;2;2;2;1;metabolic process;cytoplasm;"catalytic activity;protein binding";67099;ENSMUSG00000025956.10;;;0;0.956;0.286749846;0.863339197;102.2;97.8;4.85;4.56;
Q9CQL4;Mrpl20;39S ribosomal protein L20, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl20 PE=1 SV=1;FALSE;Mouse;1;1;1;1;"cell organization and biogenesis;metabolic process";"mitochondrion;ribosome";"RNA binding;structural molecule activity";66448;ENSMUSG00000029066.12;Ribosome;;0;0.785;0.489376075;0.890367513;112.1;87.9;36.31;33.16;
Q9CQL5;Mrpl18;39S ribosomal protein L18, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl18 PE=1 SV=1;FALSE;Mouse;1;1;1;1;"metabolic process;transport";"mitochondrion;ribosome";"RNA binding;structural molecule activity";67681;ENSMUSG00000057388.9;Ribosome;;0;1.055;0.188301951;0.858136371;97.3;102.7;4.18;5.96;
Q9CQL6;Mrpl35;39S ribosomal protein L35, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl35 PE=2 SV=1;FALSE;Mouse;1;1;1;1;metabolic process;"mitochondrion;ribosome";structural molecule activity;66223;ENSMUSG00000052962.3;Ribosome;;0;;;;;;;;
Q9CQM5;Txndc17;Thioredoxin domain-containing protein 17 OS=Mus musculus OX=10090 GN=Txndc17 PE=1 SV=1;FALSE;Mouse;3;10;3;1;"metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytosol";"antioxidant activity;catalytic activity";52700;ENSMUSG00000020803.3;;;0;0.928;0.695160551;0.932226718;103.7;96.3;22.74;4.49;
Q9CQM6;Ankrd61;Ankyrin repeat domain-containing protein 61 OS=Mus musculus OX=10090 GN=Ankrd61 PE=2 SV=1;FALSE;Mouse;1;1;1;1;;;"DNA binding;protein binding";66729;ENSMUSG00000029607.14;;;0;;;;;;;;
Q9CQM9;Glrx3;Glutaredoxin-3 OS=Mus musculus OX=10090 GN=Glrx3 PE=1 SV=1;FALSE;Mouse;11;35;11;1;"cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process";"cytoplasm;cytosol;nucleus;spliceosomal complex";"catalytic activity;metal ion binding;protein binding;RNA binding";30926;ENSMUSG00000031068.8;;;0;0.986;0.808034035;0.956841954;100.7;99.3;3.75;6.19;
Q9CQN1;Trap1;Heat shock protein 75 kDa, mitochondrial OS=Mus musculus OX=10090 GN=Trap1 PE=1 SV=1;FALSE;Mouse;26;124;25;1;"metabolic process;regulation of biological process;response to stimulus";"membrane;mitochondrion;organelle lumen";"nucleotide binding;protein binding;RNA binding";68015;ENSMUSG00000005981.11;;;0;0.904;0.004969407;0.858136371;105;95;1.85;1.95;
Q9CQN3;Tomm6;Mitochondrial import receptor subunit TOM6 homolog OS=Mus musculus OX=10090 GN=Tomm6 PE=3 SV=1;FALSE;Mouse;1;2;1;1;transport;"membrane;mitochondrion";;66119;ENSMUSG00000033475.15;;;0;;;;;;;;
Q9CQN7;Mrpl41;39S ribosomal protein L41, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl41 PE=1 SV=1;FALSE;Mouse;5;9;5;1;"cell death;metabolic process";"mitochondrion;ribosome";"RNA binding;structural molecule activity";107733;ENSMUSG00000036850.4;;;0;0.971;0.683771735;0.930878699;101.5;98.5;13.63;6.69;
Q9CQP0;Mrpl33;39S ribosomal protein L33, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl33 PE=1 SV=1;FALSE;Mouse;2;4;2;1;metabolic process;"mitochondrion;ribosome";structural molecule activity;66845;ENSMUSG00000106918.3;Ribosome;;0;1.146;0.322659403;0.869561766;93.2;106.8;11.54;2.75;
Q9CQQ7;Atp5f1;ATP synthase F(0) complex subunit B1, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1 PE=1 SV=1;FALSE;Mouse;9;49;9;1;"metabolic process;transport";"membrane;mitochondrion;nucleus";"catalytic activity;transporter activity";11950;ENSMUSG00000000563.17;"Metabolic pathways; Huntington's disease; Oxidative phosphorylation; Parkinson's disease; Alzheimer's disease";"Oxidative phosphorylation; Electron Transport Chain";0;0.88;0.301751268;0.866856602;106.4;93.6;12.11;2.23;
Q9CQQ8;Lsm7;U6 snRNA-associated Sm-like protein LSm7 OS=Mus musculus OX=10090 GN=Lsm7 PE=1 SV=1;FALSE;Mouse;2;7;1;1;metabolic process;"cytoplasm;nucleus;spliceosomal complex";"protein binding;RNA binding";66094;ENSMUSG00000035215.9;"RNA degradation; Spliceosome";mRNA processing;0;1.029;0.870005195;0.970430815;98.6;101.4;14.74;10.62;
Q9CQR2;Rps21;40S ribosomal protein S21 OS=Mus musculus OX=10090 GN=Rps21 PE=1 SV=1;FALSE;Mouse;5;72;5;1;metabolic process;ribosome;"protein binding;RNA binding;structural molecule activity";66481;ENSMUSG00000039001.12;Ribosome;Cytoplasmic Ribosomal Proteins;0;1.032;0.276070193;0.862578915;98.4;101.6;6.71;4.25;
Q9CQR4;Acot13;Acyl-coenzyme A thioesterase 13 OS=Mus musculus OX=10090 GN=Acot13 PE=1 SV=1;FALSE;Mouse;4;12;4;1;cell organization and biogenesis;"cytoplasm;cytoskeleton;cytosol;mitochondrion;nucleus";catalytic activity;66834;ENSMUSG00000006717.6;;;0;1.104;0.119324121;0.858136371;95.1;104.9;10.15;9.46;
Q9CQR5;Zmat5;Zinc finger matrin-type protein 5 OS=Mus musculus OX=10090 GN=Zmat5 PE=2 SV=1;FALSE;Mouse;1;1;1;1;metabolic process;"nucleus;spliceosomal complex";metal ion binding;67178;ENSMUSG00000009076.10;;;0;1.103;0.186557213;0.858136371;95.1;104.9;7.92;8.82;
Q9CQR6;Ppp6c;Serine/threonine-protein phosphatase 6 catalytic subunit OS=Mus musculus OX=10090 GN=Ppp6c PE=1 SV=1;FALSE;Mouse;8;17;8;1;metabolic process;"cytoplasm;cytosol";"catalytic activity;metal ion binding";67857;ENSMUSG00000026753.5;;;0;0.923;0.064242899;0.858136371;104;96;4.47;3.67;
Q9CQS2;Nop10;H/ACA ribonucleoprotein complex subunit 3 OS=Mus musculus OX=10090 GN=Nop10 PE=3 SV=1;FALSE;Mouse;1;4;1;1;"cell organization and biogenesis;metabolic process";nucleus;"protein binding;RNA binding";66181;ENSMUSG00000027133.3;Ribosome biogenesis in eukaryotes;;0;;;;;;;;
Q9CQS4;Slc25a46;Solute carrier family 25 member 46 OS=Mus musculus OX=10090 GN=Slc25a46 PE=1 SV=1;FALSE;Mouse;2;4;2;1;"cell organization and biogenesis;transport";"membrane;mitochondrion";;67453;ENSMUSG00000024259.8;;;0;1.059;0.322430818;0.869561766;97.1;102.9;5.36;4.99;
Q9CQS5;Riok2;Serine/threonine-protein kinase RIO2 OS=Mus musculus OX=10090 GN=Riok2 PE=1 SV=1;FALSE;Mouse;2;2;2;1;"metabolic process;regulation of biological process";"cytoplasm;membrane";"catalytic activity;metal ion binding;nucleotide binding";67045;ENSMUSG00000023852.13;Ribosome biogenesis in eukaryotes;;0;1.044;0.879422312;0.970430815;97.8;102.2;10.19;2.23;
Q9CQS8;Sec61b;Protein transport protein Sec61 subunit beta OS=Mus musculus OX=10090 GN=Sec61b PE=1 SV=3;FALSE;Mouse;2;5;2;1;"metabolic process;transport";"endoplasmic reticulum;membrane";"protein binding;RNA binding;transporter activity";66212;ENSMUSG00000053317.11;"Phagosome; Protein export; Protein processing in endoplasmic reticulum";;0;0.937;0.285086061;0.862578915;103.2;96.8;22.2;3.54;
Q9CQT1;Mri1;Methylthioribose-1-phosphate isomerase OS=Mus musculus OX=10090 GN=Mri1 PE=1 SV=1;FALSE;Mouse;11;25;11;1;metabolic process;"cytoplasm;cytosol;nucleus";"catalytic activity;protein binding";67873;ENSMUSG00000004996.9;"Metabolic pathways; Cysteine and methionine metabolism";;0;1.034;0.839538887;0.965198204;98.3;101.7;6.69;2.36;
Q9CQT2;Rbm7;RNA-binding protein 7 OS=Mus musculus OX=10090 GN=Rbm7 PE=1 SV=1;FALSE;Mouse;7;14;7;1;regulation of biological process;nucleus;RNA binding;67010;ENSMUSG00000042396.10;;mRNA processing;0;1.179;0.061823104;0.858136371;91.8;108.2;6.89;1.11;
Q9CQT7;Desi1;Desumoylating isopeptidase 1 OS=Mus musculus OX=10090 GN=Desi1 PE=1 SV=1;FALSE;Mouse;1;1;1;1;metabolic process;"cytoplasm;nucleus";"catalytic activity;protein binding";28075;ENSMUSG00000022472.16;;;0;;;;;;;;
Q9CQU0;Txndc12;Thioredoxin domain-containing protein 12 OS=Mus musculus OX=10090 GN=Txndc12 PE=1 SV=1;FALSE;Mouse;4;18;4;1;"cell differentiation;cellular homeostasis;metabolic process;regulation of biological process";"endoplasmic reticulum;organelle lumen";catalytic activity;66073;ENSMUSG00000028567.8;Glutathione metabolism;;0;1.054;0.369645935;0.87501916;97.4;102.6;17.73;7.04;
Q9CQU3;Rer1;Protein RER1 OS=Mus musculus OX=10090 GN=Rer1 PE=1 SV=1;FALSE;Mouse;4;4;4;1;"cell organization and biogenesis;regulation of biological process;transport";"cell surface;Golgi;membrane";protein binding;67830;ENSMUSG00000029048.3;;;0;0.886;0.04173661;0.858136371;106;94;5.51;5.86;
Q9CQU5;Zwint;ZW10 interactor OS=Mus musculus OX=10090 GN=Zwint PE=1 SV=1;FALSE;Mouse;2;3;2;1;"cell division;cell organization and biogenesis;regulation of biological process";"chromosome;cytoplasm;cytosol;nucleus";protein binding;52696;ENSMUSG00000019923.14;;;0;0.969;0.354909899;0.87501916;101.6;98.4;7.95;9;
Q9CQV1;Pam16;Mitochondrial import inner membrane translocase subunit TIM16 OS=Mus musculus OX=10090 GN=Pam16 PE=1 SV=1;FALSE;Mouse;2;5;2;1;"metabolic process;regulation of biological process;transport";"cytoplasm;membrane;mitochondrion;organelle lumen";;66449;"ENSMUSG00000014301.12; ENSMUSG00000045886.7";;;0;0.919;0.276735983;0.862578915;104.2;95.8;20.19;7.84;
Q9CQV5;Mrps24;28S ribosomal protein S24, mitochondrial OS=Mus musculus OX=10090 GN=Mrps24 PE=1 SV=1;FALSE;Mouse;1;1;1;1;"cell organization and biogenesis;metabolic process";"mitochondrion;ribosome";"RNA binding;structural molecule activity";64660;ENSMUSG00000020477.10;;;0;0.945;0.474177226;0.890106194;102.8;97.2;11.14;13.32;
Q9CQV6;Map1lc3b;Microtubule-associated proteins 1A/1B light chain 3B OS=Mus musculus OX=10090 GN=Map1lc3b PE=1 SV=3;FALSE;Mouse;2;7;1;1;"cell communication;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytoskeleton;cytosol;membrane;mitochondrion;vacuole";protein binding;67443;ENSMUSG00000031812.16;;;1;0.945;0.964513571;0.995679938;102.8;97.2;18.79;11.94;
Q9CQV7;"Dnajc19; Dnajc19-ps; Gm15118";Mitochondrial import inner membrane translocase subunit TIM14 OS=Mus musculus OX=10090 GN=Dnajc19 PE=1 SV=3;FALSE;Mouse;5;9;5;1;transport;"membrane;mitochondrion";;"67713; 100503724";ENSMUSG00000027679.13;;;0;0.973;0.817994556;0.959258841;101.3;98.7;8.31;9.54;
Q9CQV8;Ywhab;14-3-3 protein beta/alpha OS=Mus musculus OX=10090 GN=Ywhab PE=1 SV=3;FALSE;Mouse;14;235;7;1;"cell organization and biogenesis;metabolic process;regulation of biological process;transport";"cytoplasm;cytosol;membrane;nucleus";"catalytic activity;protein binding";54401;ENSMUSG00000018326.9;"Epstein-Barr virus infection; Hippo signaling pathway; Hepatitis B; Oocyte meiosis; Cell cycle; PI3K-Akt signaling pathway; Viral carcinogenesis";"TNF-alpha NF-kB Signaling Pathway; EGFR1 Signaling Pathway; Alpha6-Beta4 Integrin Signaling Pathway; IL-3 Signaling Pathway; Calcium Regulation in the Cardiac Cell; Myometrial Relaxation and Contraction Pathways";0;1.035;0.787196194;0.950483573;98.3;101.7;10.09;3.85;
Q9CQW1;Ykt6;Synaptobrevin homolog YKT6 OS=Mus musculus OX=10090 GN=Ykt6 PE=1 SV=1;FALSE;Mouse;8;20;8;1;"cell organization and biogenesis;transport";"cytoplasm;cytosol;endoplasmic reticulum;endosome;Golgi;membrane;mitochondrion";"catalytic activity;protein binding";56418;ENSMUSG00000002741.9;SNARE interactions in vesicular transport;;0;0.877;0.040361469;0.858136371;106.6;93.4;6.02;4.67;
Q9CQW2;Arl8b;ADP-ribosylation factor-like protein 8B OS=Mus musculus OX=10090 GN=Arl8b PE=1 SV=1;FALSE;Mouse;7;9;4;1;"cell division;regulation of biological process;response to stimulus";"cytoplasm;cytoskeleton;endosome;membrane;vacuole";"catalytic activity;nucleotide binding;protein binding;signal transducer activity";67166;ENSMUSG00000030105.8;;;2;0.943;0.373337947;0.87501916;102.9;97.1;13.61;7.05;
Q9CQX2;Cyb5b;Cytochrome b5 type B OS=Mus musculus OX=10090 GN=Cyb5b PE=1 SV=1;FALSE;Mouse;4;8;4;1;"metabolic process;regulation of biological process;transport";"membrane;mitochondrion";"enzyme regulator activity;metal ion binding;transporter activity";66427;ENSMUSG00000031924.4;;Oxidation by Cytochrome P450;0;1.133;0.178753339;0.858136371;93.8;106.2;8.25;5.72;
Q9CQX4;"2810417H13Rik; Pclaf";PCNA-associated factor OS=Mus musculus OX=10090 GN=Pclaf PE=1 SV=1;FALSE;Mouse;2;2;2;1;"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;nucleus";;68026;ENSMUSG00000040204.6;;;0;0.982;0.928645446;0.987727293;100.9;99.1;15.95;4.83;
Q9CQX5;"Cldn25; Cldnd1";Claudin domain-containing protein 1 OS=Mus musculus OX=10090 GN=Cldnd1 PE=1 SV=1;FALSE;Mouse;2;3;2;1;;"cell surface;membrane";;224250;ENSMUSG00000022744.12;;;0;1.022;0.537401397;0.899449913;98.9;101.1;19.43;2.32;
Q9CQX8;Mrps36;28S ribosomal protein S36, mitochondrial OS=Mus musculus OX=10090 GN=Mrps36 PE=1 SV=1;FALSE;Mouse;2;5;2;1;;"mitochondrion;ribosome";;66128;ENSMUSG00000061474.11;;;0;1.11;0.499897941;0.891882371;94.8;105.2;18.46;2.97;
Q9CQY2;Fam103a1;RNMT-activating mini protein OS=Mus musculus OX=10090 GN=Fam103a1 PE=3 SV=1;FALSE;Mouse;1;1;1;1;"cell organization and biogenesis;metabolic process";nucleus;"catalytic activity;RNA binding";67148;ENSMUSG00000038646.13;;;0;0.896;0.87242119;0.970430815;105.5;94.5;32.23;22.62;
Q9CQY5;Magt1;Magnesium transporter protein 1 OS=Mus musculus OX=10090 GN=Magt1 PE=1 SV=1;FALSE;Mouse;6;18;5;1;"metabolic process;transport";"endoplasmic reticulum;membrane";"catalytic activity;transporter activity";67075;;;;1;0.951;0.102573274;0.858136371;102.5;97.5;4.15;0.94;
Q9CQY6;"2900010M23Rik; Mnf1; Uqcc2";Ubiquinol-cytochrome-c reductase complex assembly factor 2 OS=Mus musculus OX=10090 GN=Uqcc2 PE=1 SV=1;FALSE;Mouse;3;4;3;1;"cell organization and biogenesis;regulation of biological process";"membrane;mitochondrion;organelle lumen";;67267;ENSMUSG00000024208.15;;;0;1.098;0.821023589;0.960270307;95.3;104.7;13.41;13.04;
Q9CQZ5;Ndufa6;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Mus musculus OX=10090 GN=Ndufa6 PE=1 SV=1;FALSE;Mouse;3;13;3;1;"metabolic process;response to stimulus;transport";"membrane;mitochondrion";;67130;ENSMUSG00000022450.5;"Metabolic pathways; Huntington's disease; Non-alcoholic fatty liver disease (NAFLD); Oxidative phosphorylation; Parkinson's disease; Alzheimer's disease";"Electron Transport Chain; Oxidative phosphorylation";0;1.079;0.999590263;0.999984174;96.2;103.8;19.24;6.76;
Q9CQZ6;Ndufb3;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 OS=Mus musculus OX=10090 GN=Ndufb3 PE=1 SV=1;FALSE;Mouse;3;8;3;1;"cell organization and biogenesis;metabolic process;transport";"membrane;mitochondrion";;66495;ENSMUSG00000026032.8;"Metabolic pathways; Huntington's disease; Non-alcoholic fatty liver disease (NAFLD); Oxidative phosphorylation; Parkinson's disease; Alzheimer's disease";Electron Transport Chain;0;0.976;0.555997639;0.901199998;101.2;98.8;9.23;8.68;
Q9CR00;Psmd9;26S proteasome non-ATPase regulatory subunit 9 OS=Mus musculus OX=10090 GN=Psmd9 PE=1 SV=1;FALSE;Mouse;5;9;5;1;"cell death;cell organization and biogenesis;regulation of biological process";"cytoplasm;nucleus";protein binding;67151;ENSMUSG00000029440.15;;Proteasome Degradation;0;1.051;0.403580765;0.881111644;97.5;102.5;6.31;4.76;
Q9CR02;Tma16;Translation machinery-associated protein 16 OS=Mus musculus OX=10090 GN=Tma16 PE=1 SV=1;FALSE;Mouse;2;3;2;1;;"nucleus;ribosome";;66282;ENSMUSG00000025591.6;;;0;1.162;0.081214158;0.858136371;92.5;107.5;6.33;9.5;
Q9CR08;Pop4;Ribonuclease P protein subunit p29 OS=Mus musculus OX=10090 GN=Pop4 PE=2 SV=1;FALSE;Mouse;1;1;1;1;metabolic process;nucleus;"catalytic activity;RNA binding";66161;ENSMUSG00000030423.7;"Ribosome biogenesis in eukaryotes; RNA transport";;0;0.699;0.230557299;0.858136371;117.7;82.3;29.53;23.56;
Q9CR09;Ufc1;Ubiquitin-fold modifier-conjugating enzyme 1 OS=Mus musculus OX=10090 GN=Ufc1 PE=1 SV=1;FALSE;Mouse;2;3;2;1;"metabolic process;response to stimulus";cytoplasm;"catalytic activity;protein binding";66155;ENSMUSG00000062963.10;;;0;0.939;0.119265347;0.858136371;103.1;96.9;2.59;3.87;
Q9CR11;Yeats4;YEATS domain-containing protein 4 OS=Mus musculus OX=10090 GN=Yeats4 PE=2 SV=1;FALSE;Mouse;2;3;2;1;"cell organization and biogenesis;metabolic process;regulation of biological process";"membrane;nucleus";protein binding;64050;ENSMUSG00000020171.8;;;0;0.946;0.549101011;0.900286319;102.8;97.2;2.24;6.11;
Q9CR16;Ppid;Peptidyl-prolyl cis-trans isomerase D OS=Mus musculus OX=10090 GN=Ppid PE=1 SV=3;FALSE;Mouse;13;74;13;1;"cell death;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport";"cytoplasm;cytosol;mitochondrion;nucleus";"catalytic activity;protein binding";67738;ENSMUSG00000027804.13;;;0;1.026;0.57812021;0.908762227;98.7;101.3;0.99;2.73;
Q9CR21;Ndufab1;Acyl carrier protein, mitochondrial OS=Mus musculus OX=10090 GN=Ndufab1 PE=1 SV=1;FALSE;Mouse;2;4;2;1;"cell organization and biogenesis;metabolic process;transport";"cytosol;mitochondrion";;70316;ENSMUSG00000030869.11;"Metabolic pathways; Huntington's disease; Non-alcoholic fatty liver disease (NAFLD); Oxidative phosphorylation; Parkinson's disease; Alzheimer's disease";Electron Transport Chain;0;1.028;0.883002975;0.970915888;98.6;101.4;55.46;13.28;
